Риба - куля,Родина Diodontidae,"Куля - риба, куля-риба, риба-куля, куля риба, риба куля, риба їжак, їжак риба, риба-їжак, їжак-риба, їжак - риба, риба - їжак",Cyclichthys orbicularis,"Тіло риби при небезпеці утворює кулю, вкриту гострими шипами. Поширена у тропічних і субтропічних водах Світового океану.",http://en.wikipedia.org/wiki/Cyclichthys_orbicularis,imgs/6.jpg,До 1900-х,
Саламандра плямиста (вогняна),Родина Salamandridae,"Плямиста саламандра, саламандра вогняна, вогняна саламандра, вогняна плямиста саламандра, плямиста вогняна саламандра, саламаднра плямиста вогняна",Salamandra salamandra,Поширені в гірських районах Європи. Шкіра саламандр виділяє отруйну речовину.,http://uk.wikipedia.org/wiki/Саламандра_вогняна,imgs/54.jpg,До 1900-х,
Протей європейський,Родина Proteidae,"Європейський протей, людська рибка, людська риба",Рroteus anquinus,Мешкають в підземних озерах та річечках на заході Балканського півострова.,http://uk.wikipedia.org/wiki/Європейський_протей,imgs/43.jpg,До 1900-х,
Жаба - віл,Родина Ranidae,"Віл - жаба, віл жаба, віл-жаба, жаба-віл, жаба віл",Lithobates catesbeianus (Rana catesbeiana),"Одні з найбільших жаб сучасного світу. Мають гучний голос, що нагадує ревіння вола. Поширені у східній частині Північної Америки. Живуть біля річок у густих чагарникових заростях.",http://uk.wikipedia.org/wiki/Велика_зелена_жаба,imgs/3.jpg,До 1900-х,
Плямистий летючий дракон,Родина Agamidae,Летючий дракон,Draco maculatus,"Всі летючі дракони живуть в тропічних лісах Південно-Східної Азії, в тому числі й в Індії. Дракони здійснюють польоти за допомогою широких складок шкіри по боках тіла.",http://uk.wikipedia.org/wiki/Draco_maculatus,imgs/136.jpg,До 1900-х,
Хамелеон звичайний,Родина Chamaeleonidae,Звичайний хамелеон,Chamaeleo chamaeleon,"Ящірка. Залежно від настрою, здоров'я і температури забарвлення (яке зазвичай яскраво-зелене) може змінювати колір на блакитний і жовтий. Мешкає на півдні Іспанії, острові Крит, у північній Африці, Малій Азії, Сирії.",http://uk.wikipedia.org/wiki/Хамелеон_звичайний,imgs/7.jpg,До 1900-х,
Пітон тигровий (індійський),Родина Pythonidae,"Пітон тигровий індійський, пітон індійський тигровий, тигровий індійський пітон, індійський тигровий пітон, індійський пітон тигровий, тигровий пітон індійський, питон",Python molurus,"Неотруйна змія, загальна довжина якої може сягати 8 метрів. Діапазон поширення: Пакистан, Індія, Бангладеш, Непал, Шрі-Ланка, Індокитай.",http://uk.wikipedia.org/wiki/Пітон_тигровий,imgs/56.jpg,До 1900-х,
Черепаха слонова (галапагоська),Родина Testudinidae,Слонова черепаха галапагоська,Chelonoidis niger,"Найбільші сучасні суходільні черепахи, ендеміки дев'яти островів Галапагоського архіпелагу.",,imgs/146.jpg,До 1900-х,
Анаконда парагвайська (жовта),Родина Boidae,"Жовта парагвайська анаконда, парагвайська жовта анаконда, анаконда жовта парагвайська, анаконда парагвайська жовта",Eunectes notaeus,"Неотруйні змії, загальна довжина яких може сягати 8 метрів. Діапазон поширення: Пакистан, Індія, Бангладеш, Непал, Шрі-Ланка, Індокитай.",http://uk.wikipedia.org/wiki/Анаконда_жовта,imgs/89.jpg,До 1900-х,
Крокодил нільський,Родина Crocodylidae,Нільський крокодил,Crocodylus niloticus,"Найбільший з трьох видів крокодилів що мешкають в Африці. Мають великі розміри, близько 5-6 метрів. Вага зазвичай становить 500 кілограмів.",http://uk.wikipedia.org/wiki/Крокодил_нільський,imgs/88.jpg,До 1900-х,
Губка келих Нептуна,Родина Clionaidae,"Нептуна келих губка, Нептуна губка келих, губка Нептуна келих, келих Нептуна губка, губка келих Нептун, келих губка Нептун, Нептун губка келих, Нептун келих губка  ",Cliona patera (Poterion neptuni),Одні з найгарніших губок. Мешкають у тропічних водах. Свою назву дістали за характерну келихоподібну форму.,http://uk.wikipedia.org/wiki/Кубок_Нептуна,imgs/20.jpg,До 1900-х,
Бодяга озерна / річкова,Родина Spongillidae,"Бодяга озерна річкова, бодяга річкова озерна, річкова озерна бодяга, озерна річкова бодяга",Spongilla lacustris / Ephydatia sp.,"Бодяга озерна – один із небагатьох видів, що живе у прісних водоймах. Висушену та розтерту в порох бодягу використовують як лікарський засіб проти ревматизму, невралгії та інших захворювань.",http://uk.wikipedia.org/wiki/Бодяга_ставкова,imgs/52.jpg,До 1900-х,
Горгонія ситоподібна,Родина ,"Ситоподібна горгона, ситоподібна горгонія, горгона ситоподібна",Rhipidogorgia flubellum,"Коралові поліпи, або корали – винятково морські нерухомі тварини, що прикріплюються до субстрату. Вони мають зовнішній або внутрішній скелет, саме його ми бачимо, розглядаючи сухі корали в музеї. Основа коралових рифів – це ніщо інше, як величезна колонія так званих рифоутворювальних видів коралів, які сформувалися протягом мільйонів років. Коралові поліпи дуже різноманітні за формою і забарвленням. Великі скупчення коралів нагадують підводні сади.",,imgs/133.jpg,До 1900-х,
Корал - мозковик,Родина ,"Мозковий корал, корал мозковик, мозковик - корал, мозковик-корал, корал-мозковий, мозковий корал, корал мозковий, корал-мозковий, мозковий-корал, корал - мозковий, мозковий - корал",Diploria cerebriformis,Мадрепоровий корал-мозковик дістав свою назву за подібність поверхні його колонії до мозку людини.,,imgs/138.jpg,До 1900-х,
Ціп'як бичачий,Родина ,"Бичачий ціп'як, бичачий ціпяк, ціпяк бичачий, ципяк бичачий, бичачий ципяк, ціпьяк бичачий, бичачий ціпьяк, ципяк бичачий, бичачий ципяк, ціпьяк бичачий, бичачий ціпьяк",Taeniarhynchus saginatus (Taenia saginata),"Доросла стадія, що досягає 4-10 метрів у довжину, паразитує в кишківнику людини. Проміжним хазяїном є велика рогата худоба. Людина заражається бичачим солітерометрів, вживаючи сире або недостатньо проварене м’ясо, заражене личинками.",http://uk.wikipedia.org/wiki/Ціп%27як_бичачий,imgs/36.jpg,До 1900-х,
П'явка медична,Родина Hirudidae,"Медична п'явка, медична пявка, пявка медичка, пйявка медична, медична пйявка, пьявка медична, медична пьявка, піявка медична, медична піявка, пиявка медична, медична пиявка",Hirudo medicinalis,"Досягають довжини 12 сантиметрів. Живуть у прісних водоймах. Медичних п’явок використовують у медицині, для чого їх спеціально вирощують у лабораторних умовах.",http://uk.wikipedia.org/wiki/П%27явка_медична,imgs/140.jpg,До 1900-х,
Омар європейський,Родина Nephropidae,Європейський омар,Homarus gammarus,"Поширені у Середземному морі та у водах Східної Атлантики від Ісландії до Марокко. Активні вночі, день проводять у схованках. Живляться крабами, молюсками та іншими безхребетними.",http://uk.wikipedia.org/wiki/Омар_європейський,imgs/21.jpg,До 1900-х,
Мечохвіст атлантичний,Родина ,,Limulus (Xiphosura) polyphemus,"Найбільший із мечохвостів, що досягає довжини майже одного метра. Мечохвости – невелика група первісних морських членистоногих, яких у сучасній фауні існує лише 5 видів. Ці далекі родичі павуків поширені у водах біля берегів Центральної та Північної Америки та Південно-Східної Азії.",http://uk.wikipedia.org/wiki/Мечохвости,imgs/47.jpg,До 1900-х,
Бджола - тесляр фіолетова,Родина Apidae,,Xylocopa violacea,"Бджола-тесляр фіолетова – одна з найбільших бджіл у фауні України. Облаштовує гнізда в деревині, часто використовуючи для цього старі дерев’яні споруди.",http://uk.wikipedia.org/wiki/Ксилокопа_фіолетова,imgs/132.jpg,До 1900-х,
Жук голіаф звичайний,Родина Scarabaeidae,,Goliathus goliatus,"Жук голіаф звичайний – найбільша бронзівка світової фауни. Як і всі бронзовики, літає, не піднімаючи надкрил. Живе в Африці. Личинки вигодовуються в деревині пальм.",,imgs/137.jpg,До 1900-х,
Метелик каліма листоподібна,Родина Nymphalidae,,Kallima inachus,"Метелик каліма, склавши крила, дивовижно нагадує листя дерев.",http://uk.wikipedia.org/wiki/Kallima_inachus,imgs/141.jpg,До 1900-х,
Совка Агрипа,Родина Erebidae,,Thysania agrippina,Найбільший за розмахом крил (до 30 см) метелик світової фауни. Живе у Бразилії та суміжних країнах.,http://uk.wikipedia.org/wiki/Совка_Агриппіна,imgs/147.jpg,До 1900-х,
Тридакна велетенська,Родина Cardiidae,,Tridacna gigas,"Найбільші екземпляри цього виду досягають майже 1,5 метрів завдовжки та можуть важити до 250 кілограмів. Вік таких велетнів, за різними оцінками, становить від 100 до 300 років. Поширені тридакни в місцях розміщення коралових рифів, особливо багато їх у Великому Бар’єрному рифі поблизу Австралії.",http://uk.wikipedia.org/wiki/Тридакна_велетенська,imgs/148.jpg,До 1900-х,
Дарувальниця бліда,Родина Xenophoridae,,Xenophora pallidula,"Молюски цього роду дуже часто ""прикрашають"" свою черепашку різноманітними предметами, найчастіше – черепашками інших молюсків.",http://en.wikipedia.org/wiki/Xenophora_pallidula,imgs/134.jpg,До 1900-х,
Колібрієві,Родина Trochilidae,,,"Родина колібрі налічує близько 320 видів, поширених у Новому світі від Аляски та Лабрадору (Північна Америка) до Вогняної Землі (Південна Америка). Це найменші птахи світу, довжина тіла яких коливається від 5,7 до 25 сантиметрів, а вага – від 1,6 до 20 грамів.",http://uk.wikipedia.org/wiki/Колібрієві,imgs/37.jpg,До 1900-х,
Ківі бурий (звичайний),Родина Apterygidae,,Apteryx australis,"Ківі є одними з небагатьох птахів, які, подібно до звірів, мають добре розвинутий нюх, завдяки якому відшукують поживу. У цьому їм допомагає довгий дзьоб із ніздрями на самому його кінчику. Відкладають одне яйце вагою до 500 грамів, що дорівнює 15 % ваги самки.",http://uk.wikipedia.org/wiki/Ківі_бурий,imgs/31.jpg,До 1900-х,
Пінгвіни імператорський / королівський,Родина Spheniscidae,,Aptenodytes forsteri / patagonicus,"Наряду з імператорськими, королівські пінгвіни одні з найбільших за розмірами від усіх пінгвінів. Щільне та густе пір'я, підшкірний шар жиру – усе це допомагає їм витримувати холод Антарктики. Вони відкладають одне яйце. Під час насиджування тримають його між лапами у складці шкіри.",http://uk.wikipedia.org/wiki/Пінгвін_королівський,imgs/78.jpg,До 1900-х,
Альбатрос мандрівний,Родина Diomedeidae,,Diomedea axulans,"Поширений у Південному океані, а також у південних частинах Тихого, Індійського та Атлантичного океанів. Із сучасних птахів він має найбільший розмах крил – до 3,5 метрів. Свою назву птах дістав за те, що більшу частину життя проводить у далеких мандрах, ширяючи над океанічними просторами далеко від берегів, де розмножується.",http://uk.wikipedia.org/wiki/Альбатрос_мандрівний,imgs/42.jpg,До 1900-х,
Фаетон червонохвостий,Родина Phaethontidae,Червонохвостий фаетон,Phaethon rubricauda,"Гніздиться колоніями на островах у тропічній і субтропічній зонах Індійського та у західній і центральній частинах Тихого океанів. Ці птахи рідко сідають на воду, але літають дуже добре й зустрічаються в океанах за сотні кілометрів від берега.",http://uk.wikipedia.org/wiki/Фаетон_червонохвостий,imgs/151.jpg,До 1900-х,
Фрегат малий,Родина Fregatidae,,Fregata ariel,"Поширений у тропічній зоні всіх океанів. Він є одним із найкращих літунів серед птахів. Ноги у фрегата настільки малі, що йому важко пересуватися суходолом та плавати. Не вміють фрегати пірнати за поживою, тому полюють переважно на летючих риб, коли ті вистрибують із води.",http://uk.wikipedia.org/wiki/Фрегат-арієль,imgs/131.jpg,До 1900-х,
Баклан синьоокий,Родина Phalacrocoracidae,,Leucocarbo (Phalacrocorax) atriceps,Один із найкрасивіших видів серед бакланів. Його представники мешкають вздовж берегів Південної Америки та прилеглих островів до Антарктичного півострова.,http://uk.wikipedia.org/wiki/Баклан_імператорський,imgs/57.jpg,До 1900-х,
Гага звичайна,Родина Anatidae,,Somateria mollissima,"Поширена на північному узбережжі та островах Євразії, Північної Америки. Морський птах, широко відомий своїм надзвичайним пухометрів, дуже легкиметрів, найкращим у світі природним утеплювачем. Єдина гніздова популяція гаги в Україні (у Чорноморському біосферному заповіднику) існує з 1975. Вид внесено до Червоної Книги України.",http://uk.wikipedia.org/wiki/Пухівка_(птах),imgs/58.jpg,До 1900-х,
Фламінго звичайний,Родина Phoenicopteridae,,Рhoenicopterus roseus,"Поширений у тропічних і субтропічних частинах Азії, Африки, Америки та у Південній Європі. Живе на прісноводних і солонуватих водоймах. Конусоподібні великі й високі гнізда будують із мулу. Живляться дрібними водяними тваринами.",http://uk.wikipedia.org/wiki/Фламінго_рожевий,imgs/130.jpg,До 1900-х,
Голуб мандрівний,Родина Columbidae,Мандрівний голуб,Ectopistes migratorius,"Цей птах заселяв у неймовірно великій кількості Північну Америку ще в другій половині ХIX століття. На кінець століття був повністю знищений. У природі останній екземпляр загинув у 1899, а в неволі у 1914.",http://uk.wikipedia.org/wiki/Голуб_мандрівний,imgs/73.jpg,До 1900-х,
Квезал,Родина Trogonidae,,Pharomachrus mocinno,"Поширений у Центральній Америці. Птах не витримує неволі, і саме за свою ""волелюбність"" з’явився на гербі Гватемали. Грошова гватемальська одиниця також називається на честь цього птаха.",http://uk.wikipedia.org/wiki/Квезал_довгохвостий,,До 1900-х,
Райські птахи (дивоптахові),Родина Paradisaeidae,,,"Коли у 1522 до Європи повернувся корабель ""Вікторія"", на якому видатний мандрівник Фернан Магеллан вирушив у першу навколосвітню подорож, серед ""див"" із невідомих країв були й шкурки птахів надзвичайної краси. Їх назвали ""райськими птахами"", оскільки тривалий час вважалося, що вони мають неземне походження. Поширені у Новій Гвінеї та на Півночі Австралії.",http://uk.wikipedia.org/wiki/Дивоптахові,imgs/128.jpg,До 1900-х,
Короткошерстний вомбат,Родина Vombatidae,,Vombatus ursinus,"Схожі на величезних бабаків, вомбати досягають ваги 35 кілограмів. Розповсюджені в лісах та горах Півдня Австралії та Тасманії. Живуть у норах, живляться рослинами та грибами.",http://uk.wikipedia.org/wiki/Вомбат_ведмежий,imgs/71.jpg,До 1900-х,
Деревний кенгуру,Родина Macropodidae,,Dendrolagus ursinus,"Житель лісів Нової Гвінеї. В пошуках їжі може залазити на дерева, за що одержав назву “деревного кенгуру”. Рідкісний вид. Об’єкт полювання в місцевого населення.",http://uk.wikipedia.org/wiki/Деревний_кенгуру_ведмежий,imgs/74.jpg,До 1900-х,
Лінивець трипалий,Родина Bradypodidae,Трипалий лінивець,Bradipus tridactylus,"У цього виду 9 шийних хребців – найбільша серед сучасних ссавців кількість! Голова може обертатися на 270 градусів. На відміну від інших ссавців, температура тіла лінивця залежить від температури довкілля й коливається у межах 24-33 градусів. Шерсть має зеленкуватий колір завдяки синьо-зеленим водоростяметрів, які оселяються на волоссі лінивця. Розповсюджений у лісах Амазонії (Південна Америка). Деревний, малорухомий звір, зазвичай, висить спиною вниз на гілках церкопії. Живиться листяметрів, квітами та плодами цього ж дерева.",http://uk.wikipedia.org/wiki/Лінивець_трипалий,imgs/9.jpg,До 1900-х,
Панцирники (броненосці),Родина Cingulata,"Панцирники броненосці броненосцеподібні, броненосці панцирники броненосцеподібні",,"Тіло вкрите міцними кістяними смужками, які охоплюють тіло. Мешканці Нового Світу.",http://uk.wikipedia.org/wiki/Броненосці,,До 1900-х,
Мурахоїд великий,Родина Myrmecophagidae,,Myrmecophaga tridactyla,"Найбільший зі ссавців, що живляться комахами; довжина тіла до 1,2 метра, вага до 40 кілограмів. Мешкає в степах та вологих лісах Південної Америки. Головною їжею є мурахи, терміти та їх яйця. Міцними пазурами довжиною до 10 сантиметрів він руйнує термітники та мурашники, збираючи комах довгим (до 60 сантиметрів) липким язиком. Занесений до Червоної книги МСОП.",http://uk.wikipedia.org/wiki/Мурахоїд_великий,imgs/10.jpg,До 1900-х,
Летюча лисиця,Родина Pteropodidae,,Pteropus vampyrus,"Найбільші з кажанів. Розповсюджені в тропіках Південно-Східної Азії, Австралії, островів Індійського та Тихого океанів. Попри страхітливу зовнішність та величезні зуби, це мирні звірята, що живляться соковитими фруктами.",http://uk.wikipedia.org/wiki/Калонг,imgs/84.jpg,До 1900-х,
"Пискуха альпійська (алтайська, сіноставець)",Родина Ochotonidae,,Ochotona alpina,Близький родич зайців. Поширений у горах Центральної Азії.,http://uk.wikipedia.org/wiki/Пискуха_альпійська,imgs/95.jpg,До 1900-х,
Бабак альпійський,Родина Sciuridae,Альпійський бабак,Marmota marmota,Один із найрідкісніших ссавців Європи. В історичні часи мешкав в Українських Карпатах. Занесений до Червоної Книги України.,http://uk.wikipedia.org/wiki/Бабак_альпійський,imgs/26.jpg,До 1900-х,
Карликова сумчаста летяга,Родина Petauridae,,Petaurus breviceps,"Найдрібніший зі ссавців, що здатні до планерування. По боках є літальна перетинка – складка шкіри, яка під час стрибків з дерева на дерево збільшує площу тіла й дозволяє тварині подовжити відстань стрибка. Розповсюджена в лісах Австралії. Живиться комахами та нектаром.",,imgs/79.jpg,До 1900-х,
Водосвинка (капібара),Родина Caviidae,,Hydrochoeris hydrochoeris,"Водосвинка є найбільшим гризуном у світі. Її вага може досягати 80 кілограмів. Поширена в Південній Америці. Живе групами до 20 особин по берегах річок, озер, на болотах. У багатьох місцях на капібар полюють заради смачного м’яса та шкури.",http://uk.wikipedia.org/wiki/Капібара_велика,imgs/25.jpg,До 1900-х,
Тушкан великий (земляний заєць),Родина Dipodidae,,Allactaga major,"Схожий на маленького зайця гризун з довгим хвостометрів, який закінчується великою чорно-білою китицею. Заселяє відкриті простори Східної Європи, Середньої Азії та Західного Сибіру. Рекордсмен зі швидкості пересувань серед гризунів (до 40-50 кілометрів на годину). Живе у норах. Активний вночі. На зиму може впадати у сплячку. Занесений до Червоної книги України.",http://uk.wikipedia.org/wiki/Тушкан_великий,imgs/98.jpg,До 1900-х,
Полівка снігова (снігурка альпійська),Родина Cricetidae,,Chionomys syriacus (nivalis),"Цей пристосований для життя серед каміння дрібний гризун живе в горах Європи, Кавказу, Близького та Середнього Сходу, зокрема, й у високогір’ях Українських Карпат. Рідкісний вид, занесений до Червоної книги України.",http://uk.wikipedia.org/wiki/Полівка_снігова,imgs/91.jpg,До 1900-х,
Росомаха звичайна,Родина Mustelidae,Звичайна росомаха,Gulo gulo L.,"Один із найбільших представників кунячих. Вага до 19 кілограмів. Розповсюджена тайговій зоні Європи, Азії та Північної Америки. У пошуках поживи може мандрувати на відстань у сотні кілометрів. Останню росомаху в Україні знайшли у 1923.",http://uk.wikipedia.org/wiki/Росомаха,imgs/106.jpg,До 1900-х,
"Носуха амазонська (руда, звичайна)",Родина Procyonidae,,Nasua nasua,"Свою назву цей родич єнота отримав за довгий дуже рухливий ніс, за допомогою якого тварина розшукує їжу (фрукти, комах, яйця птахів, дрібних плазунів). Мешкає в лісах від півдня США до Аргентини. Носухи живуть групами, кожна з яких має окрему ділянку.",http://uk.wikipedia.org/wiki/Носуха_амазонська,imgs/13.jpg,До 1900-х,
Генета тигрова,Родина Viverridae,,Genetta tigrina,"Цей невеликий за розміром хижак (до 2 кілограмів), який зовні нагадує куницю, належить до особливої групи хижих ссавців (Viveridae), розквіт якої відбувся 9-12 мільйонів років тому. Мешкає в лісах та саванах Південної Африки.",http://uk.wikipedia.org/wiki/Genetta_tigrina,imgs/124.jpg,До 1900-х,
"Кіт європейський (лісовий, дикий)",Родина Felidae,,Felis silvestris,"Мешкає в лісах Центральної та Східної Європи, Малої Азії, Кавказу. Рідкісний вид, його занесено до Червоної книги України.",http://uk.wikipedia.org/wiki/Кіт_лісовий,imgs/111.jpg,До 1900-х,
Рись євразійська (звичайна),Родина Felidae,"Рись євразійська звичайна, рись звичайна євразійська, євразійська рись звичайна, євразійська звичайна рись, звичайна рись євразійська, звичайна євразійська рись",Lynx lynx L.,"Рідкісний вид, занесений до Червоної книги України.",http://uk.wikipedia.org/wiki/Рись_євразійська,,До 1900-х,
Морж звичайний,Родина Odobenidae,Звичайний морж,Odobenus rosmarus,"Моржі – дуже великі тюлені: вага дорослих самців сягає 1,5-2 тонн, а самиць – 800-900 кілограмів. Характерна особливість моржів – величезні ікла (до 80 сантиметрів), які допомагають моржеві здобувати поживу з дна моря, вилазити на крижини. Розповсюджені в Північному Льодовитому океані. Під час зимових міграцій запливають у північну частину Тихого океану. Суходолом пересуваються за допомогою всіх кінцівок. Під час розмноження утворюють великі скупчення. Живляться молюсками та ракоподібними, яких здобувають на глибині до 30-50 метрів. Чисельність значно скоротилася в останні десятиліття. Ікла моржів використовуються для різьблення по кості – унікального мистецтва народів Півночі.",http://uk.wikipedia.org/wiki/Морж,imgs/16.jpg,До 1900-х,"Череп, передня кінцівка"
"Сайгак татарський (степовий, сугак)",Родина Bovidae,,Saiga tatarica,"Єдина антилопа європейських степів. Морда закінчується своєрідним розширенняметрів, яке зветься “хоботком”. Ця особливість пов'язана з необхідністю очищення повітря при диханні від пилу влітку та його зігріванням узимку. Нині розповсюджений у степах та напівпустелях від Калмикії до Казахстану та Монголії. Раніше західна частина ареалу охоплювала й Україну, де сайгак дожив до ХІХ століття. Їх вбивають заради м’яса, шкіри, рогів, які цінують у східній медицині. Потребує охорони.",http://uk.wikipedia.org/wiki/Сайгак,imgs/105.jpg,До 1900-х,
Джейран,Родина Bovidae,Джейран,Gazella subgutturosa,Одна з найбільших антилоп помірного поясу Азії. Поширена у напівпустелях від Аравії до Монголії. Живе табунами по декілька сотень тварин. Чисельність невпинно скорочується внаслідок полювання. Джейрана занесено до Червоних книг багатьох країн,http://uk.wikipedia.org/wiki/Джейран,imgs/119.jpg,До 1900-х,
